Image,product_container_URL,bluproduct_variant,product_promos_specialcamp,Content,Content1,Content2,Name,Description,Price,Price3,Price4,Location,Location5,bluproduct_sold,bluproduct_ratingwrapper
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/blus-lengan-panjang-gaya-korea-big-size-fit-3l-model-oversized-longgar-jfashion-ningrum/ps--JFN-25267-01802?ds=JFN-25267-01802-00002&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1uUlp96PWh0ymLL8KZCaZ78QDakIBZYWmN8h6joboykOV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+1C3rwWRRFS/y9AO+ls+ltESUUiUH0gtqLOoNhn+7Z1P/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3001401&pid1=JFN-25267-01802, 3 , Promo hingga , 15 , 47 , 13 ," 
      Blus lengan panjang gaya Korea BIG SIZE fit 3L model oversized longgar - Jfashion Ningrum 
    "," 
 Produk dalam negeri 
 Jahitan berkualitas 
 Bahan bermutu, nyaman di pakai 
 Model simpel dan elegan 
","
          Rp55.900
        ","
            Rp139.800
          ","
            60%
          ", JFashion Women , Kota Jakarta Barat , Terjual 161 ,"4,6"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-pretty-pleats-culotte-celana-panjang-wanita-k09/ps--9TW-60021-01556?ds=9TW-60021-01556-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1mp+83pXG0HDxT9CIVAT7Pp9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+6BgdXWHfRmgK3Yi1ewSXppJo8g3KNbnFLWGll/wEJcL/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01556, 6 , Promo hingga , 15 , 47 , 12 ," 
      9 to 12 Pretty Pleats Culotte Celana Panjang Wanita K09 
    ","• - Celana panjang pleated yang trendy 
• - Potongan lurus utk efek slim 
• - Karet tidak keras, tidak sakit, namun elastis. All size fit to XL 
• - Celana wanita untuk santai maupun semi formal 
• - Bahan celana pleated knit","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 159 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/tanktop-singlet-dalaman-cropped-wanita-gaya-korea-jfashion-zanna/ps--JFN-25267-01835?ds=JFN-25267-01835-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1hMoySdAK0617gGl4JXMUm7eXjAWV+RkbyYVqQZZXJGLV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+0qVdWrJwRTdUiSjNqtCYRFUyQdodD+zFsg/i2213sO4/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3001401&pid1=JFN-25267-01835, 5 , Promo hingga , 15 , 47 , 11 ," 
      Tanktop Singlet Dalaman Cropped Wanita Gaya Korea - Jfashion Zanna 
    ","• Produk dalam negeri
• Jahitan berkualitas
• Bahan bermutu, nyaman di pakai
• Model simpel dan elegan","
          Rp19.900
        ","
            Rp47.800
          ","
            58%
          ", JFashion Women , Kota Jakarta Barat , Terjual 153 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-pretty-pleats-culotte-celana-panjang-wanita-k03/ps--9TW-60021-01558?ds=9TW-60021-01558-00002&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1sYkuAFlgzQww14OQHsGT5F9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+6BgdXWHfRmgK3Yi1ewSXppJo8g3KNbnFLWGll/wEJcL/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01558, 5 , Promo hingga , 15 , 47 , 11 ," 
      9 to 12 Pretty Pleats Culotte Celana Panjang Wanita K03 
    ","• - Celana panjang pleated yang trendy
• - Potongan lurus utk efek slim
• - Karet tidak keras, tidak sakit, namun elastis. All size fit to XL
• - Celana wanita untuk santai maupun semi formal
• - Bahan celana pleated knit","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 150 ,"4,8"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/tanktop-camisoles-tsamara-tank-top-wanita/ps--JFN-25267-01350?ds=JFN-25267-01350-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1taBg9XBEHGdPrOISMYCnZ94sDK9fvZIyDYwi8QWt1ajV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+0qVdWrJwRTdUiSjNqtCYRFUyQdodD+zFsg/i2213sO4/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3001401&pid1=JFN-25267-01350, 6 , Promo hingga , 15 , 47 , 10 ," 
      Tanktop Camisoles Tsamara Tank Top Wanita 
    ","





Tank top
Didesain chic
Square neckline
Spaghetty strap
Material : Spandex


","
          Rp30.300
        ","
            Rp75.900
          ","
            60%
          ", JFashion Women , Kota Jakarta Barat , Terjual 137 ,"4,5"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/giordano-women-s-3d-lion-polo-0531488809-dark-blue/ps--GIW-70004-00167?ds=GIW-70004-00167-00003&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1luIMT95keHxH7kBIGvYLJ5pciUJAaRHr4Q35kb2ityEVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGcvQ0uIahobQPIwTeYPsxmF4UgaPzbvwOpk0QC4O2uulzqQNZR3GqpxQ42Pk/pw+mfOab3gJzGMLkHMkxNSUzSw==&cnc=false&pickupPointCode=PP-3348001&pid1=GIW-70004-00167,, Promo hingga , 15 , 47 , 10 ," 
      Giordano Women's 3D Lion Polo 0531488809 Dark Blue 
    ",,"
          Rp219.000
        ","
            Rp469.000
          ","
            53%
          ", Giordano Women Official Store  , Kota Tangerang , Terjual 131 ,"5,0"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/giordano-women-s-dear-future-print-tee-0539122002-arctic-blue/ps--GIW-70004-00185?ds=GIW-70004-00185-00003&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1prveGSMslp8Bph96R6Eh4ig4Zh+bpoj8NtJrGyBtZYzVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGcvQ0uIahobQPIwTeYPsxmF4UgaPzbvwOpk0QC4O2uukr8lsH2ewybrezZ8AZT8C0fOab3gJzGMLkHMkxNSUzSw==&cnc=false&pickupPointCode=PP-3348001&pid1=GIW-70004-00185,, Promo hingga , 15 , 47 , 09 ," 
      Giordano Women's Dear Future Print Tee 0539122002 Arctic Blue 
    ",,"
          Rp119.000
        ","
            Rp329.000
          ","
            64%
          ", Giordano Women Official Store  , Kota Tangerang & kota lainnya , Terjual 128 ,"5,0"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-pretty-pleats-skirt-rok-panjang-wanita-r01/ps--9TW-60021-01557?ds=9TW-60021-01557-00005&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1s4FQWO3lFX/nWk85S0uC3V9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+8BZGe0v2h/g7x7LrkdU8UW0d/1ASyKnDbj+qLuXuG/A/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01557, 6 , Promo hingga , 15 , 47 , 08 ," 
      9 to 12 Pretty Pleats Skirt Rok Panjang Wanita R01 
    ","• - Rok panjang pleated yang trendy
• - Potongan lurus untuk efek slim
• - Karet tidak keras, tidak sakit, namun elastis. All size fit to XL
• - Rok wanita untuk santai maupun semi formal
• - Bahan Rok pleated knit","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 126 ,"4,8"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-crinkle-long-pants-celana-panjang-wanita/ps--9TW-60021-01491?ds=9TW-60021-01491-00001&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1ie48LqQZfEsb5n6DYsJUxR9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+6BgdXWHfRmgK3Yi1ewSXppJo8g3KNbnFLWGll/wEJcL/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01491, 3 , Promo hingga , 15 , 47 , 08 ," 
      9 to 12 Crinkle Long Pants Celana Panjang Wanita 
    ","• High waist 
• Pinggang karet dengan detail drawstring 
• Wide Leg design 
• Side pocket details 
• Polyester Crinkle Material","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Jakarta Timur , Terjual 117 ,"4,9"
https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,https://www.blibli.com/p/9-to-12-crinkle-shirt-atasan-wanita/ps--9TW-60021-01490?ds=9TW-60021-01490-00003&source=CATEGORY&sid=aaea9690640ec828&metaData=Sa0jw+XIAzQDKlCuUgCF1hE4xnf3ew9rc5h5r0PygAt9xpXpzawNtcsBsJLh18QyV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krriCFOI5lmHqdKNgbp4eEHTKmgyqreTkaEw7m9hA1+zTwYRVVrOAAakyD7lP7m4L5+HAn4xa1bXJlKu9rr2Gi/HRAebnNnuOytEmCYH5JGg==&cnc=false&pickupPointCode=PP-3047957&pid1=9TW-60021-01490, 3 , Promo hingga , 15 , 47 , 08 ," 
      9 to 12 Crinkle Shirt Atasan Wanita 
    ","• Oversized fit 
• Shirt style collar 
• Front button closure 
• Patch pocket detail dibagian depan 
• Short sleeves 
• Polyester Crinkle Material","
          Rp89.000
        ","
            Rp299.000
          ","
            70%
          ", 9to12 Woman Official Store , Kota Tangerang , Terjual 112 ,"4,8"
