Title,Title_URL,Image,product_promos_specialcamp,Content,Description,Price,Price1,Price2,Location,Location3,bluproduct_ratingwrapper,bluproduct_sold,Image4
" 
      VM Polos Navy Blue Kaos Polo Pria                                                                                                
    ",https://www.blibli.com/p/vm-polos-navy-blue-kaos-polo-pria/ps--VMP-18274-00040?ds=VMP-18274-00040-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jxp0+e7lE8baGo3uXmxCnCVeNC+f6B/Z5uEBEu2sgCqlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21veGaGYGFGYf25z1CaNjawdBgtRiqs/MAUme7ocrJ5UAquVtw0c/bnyKkeJ3r2OgtA0T0T2y5SVcq7DCnwmLMyarw9uCgWdGp1ChgVOeWcHE8zzwV1SCkzS8fXeaTO+PIaO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00040,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium/vm-alshop_vm-polos-navy-blue-kaos-polo-pria_full01.jpg?output-format=webp, Promo hingga ,4 Feb 2024,    Short sleeves Polo shirt    Didesain casual    Pointed collar    2 front button opening    Material : Lakos ,"
          Rp54.000
        ","
            Rp129.900
          ","
            58%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,3"," Terjual 21,4 rb ",
" 
      VM Kemeja Polos Pendek Slimfit - Hitam 
    ",https://www.blibli.com/p/vm-kemeja-polos-pendek-slimfit-hitam/ps--VMP-18274-00308?ds=VMP-18274-00308-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jxp0+e7lE8baGo3uXmxCnCLy1/eIC3r5A2DaIfa1G7nlsogVVfmUpV8Tbz8/WvDB0/Qd+PE2R+BYcbkg24R21veGaGYGFGYf25z1CaNjawdBgtRiqs/MAUme7ocrJ5UAquVtw0c/bnyKkeJ3r2OgtA0T0T2y5SVcq7DCnwmLMyarw9uCgWdGp1ChgVOeWcHE97SugEw8gA1HVfRRThqNtiO88fyzvy/mZdUpEwHtXWE&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00308,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/medium/vm_vm-kemeja-polos-pendek-slimfit-hitam_full10.jpg?output-format=webp, Promo hingga ,4 Feb 2024,"• Short sleeves shirt
• Didesain trendy
• Pointed collar, front button opening
• Left chest pocket
• Material : Katun","
          Rp94.000
        ","
            Rp199.000
          ","
            53%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,6"," Terjual 21,4 rb ",
" 
      Giordano Men's Regular Polo National Day - Haute Red [0101140402] 
    ",https://www.blibli.com/p/giordano-men-s-regular-polo-national-day-haute-red-0101140402/ps--GII-70017-00154?ds=GII-70017-00154-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1h6YLjpuT4p6m8XC3VzOIwVnn94KGaiRjmmxg1qjcFPRVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJnuk6dpD5M3X1VmZDWLlP8VHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00154,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,"• Polo shirt dengan tema national day detail lining kontras 
• - Warna merah 
• - Detail kerah 
• - Unlined 
• - Regular fit 
• - Kancing depan 
• - Material katun kombinasi tidak transparan, ringan dan tidak stretch""","
          Rp199.000
        ","
            Rp449.000
          ","
            56%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang ,"4,9", Terjual 617 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      JAKET PARKA PRIA WATERPROOF PREMIUM / JAKET BOOMBER / JAKET BIG SIZE / 
    ",https://www.blibli.com/p/jaket-parka-pria-waterproof-premium-jaket-boomber-jaket-big-size/ps--HEO-70079-00355?ds=HEO-70079-00355-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1qoro++1iVpFpa2vYFu3TYxB7zVLAtsfVk/1SBIKuPg8Vfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPomoKcervbZdmKOuLnVtTF8Kqlbkt0JvZnaof2SXmg5HoSygAE0PRQ9tvyhFsOCB5RfyUcjpfQtbDHqJqFsTE07&cnc=false&pickupPointCode=PP-3296171&pid1=HEO-70079-00355,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,"• Bahan Waterproof 
• Terdapat 2 kantong di bagian bawah dan dilengkapi dengan resleting 
• Terdapat kantung bagian dalam untuk menaruh HP 
• Bahan ringan, tebal dan nyaman dipakai 
• Dilapisi furing di bagian dalam 
• Cocok digunakan untuk aktivitas indoor atau outdoor","
          Rp109.000
        ","
            Rp272.500
          ","
            60%
          ", HEYLOOK Official Store , Kota Tangerang ,"4,7", Terjual 490 ,
" 
      Roughneck T070 Black Sig Ultrablack Tshirt 
    ",https://www.blibli.com/p/roughneck-t070-black-sig-ultrablack-tshirt/ps--RO1-60023-03487?ds=RO1-60023-03487-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1olLQ/AAoXDPhtkR7Ss/KSI1UxjOIaKtIQS7rbrdUL4eV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3111116&pid1=RO1-60023-03487,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,• Roughneck T070 Black Sig Ultrablack Tshirt,"
          Rp79.900
        ","
            Rp200.000
          ","
            60%
          ", Roughneck 1991 Official Store , Kota Depok ,"4,8", Terjual 486 ,
" 
      Nicole World Tour Off White Tee 
    ",https://www.blibli.com/p/nicole-world-tour-off-white-tee/ps--NIT-70073-00005?ds=NIT-70073-00005-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1quLUqR+vToaJa/KDojaW0nxne/mPGB59y6mVR6+9UtbVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00005,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp188.000
        ","
            Rp375.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"4,9", Terjual 401 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      VM Jumbo Kaos Buntung Polos / Kaos Tidak Berlengan 
    ",https://www.blibli.com/p/vm-jumbo-kaos-buntung-polos-kaos-tidak-berlengan/ps--VMP-18274-01892?ds=VMP-18274-01892-00041&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1jrqpuIoW64JfaWKqbTfQXopbbUfhDhad9jlERIStrMwV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3130745&pid1=VMP-18274-01892,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,," 
 Sleeveless top 
 Didesain trendy 
 Round neckline 
 Nyaman digunakan 
 Material : Katun 
","
          Rp35.000
        ","
            Rp88.000
          ","
            60%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat & kota lainnya ,"4,6", Terjual 337 ,
" 
      Roughneck T225 Black Hollywood Syndrome Tshirt 
    ",https://www.blibli.com/p/roughneck-t225-black-hollywood-syndrome-tshirt/ps--RO1-60023-02947?ds=RO1-60023-02947-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1mmTNgEPkBYYwSv4GrN8eaEb7E4SU29+Lpj0r0wzmzRMV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMyWi3+uwKb57MNk0lW0uh49z2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3111116&pid1=RO1-60023-02947,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,• Roughneck T225 Black Hollywood Syndrome Tshirt,"
          Rp59.900
        ","
            Rp200.000
          ","
            70%
          ", Roughneck 1991 Official Store , Kota Depok ,"4,8", Terjual 325 ,
" 
      VM Polos Slimfit Panjang Kemeja Kerja Pria - Navy Blue 
    ",https://www.blibli.com/p/vm-polos-slimfit-panjang-kemeja-kerja-pria-navy-blue/ps--VMP-18274-00222?ds=VMP-18274-00222-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1hslQKmsEMj9SdwweD7PfG7cLkFaZywFNniU9JvqovVcVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX4FIV3TYG4eZlaHQvtHp2GSlg9DYcGal6Nha+0m5BO3EeiRIJn1Q5zmSrBX55mysPomoKcervbZdmKOuLnVtTF88W6/esERL677BKyB6iQ7HM8tt2YWdBquMcqzqH4LeEZfyUcjpfQtbDHqJqFsTE07&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00222,,,,"
Long sleeves shirt
Desain trendy
Pointed collar, front button opening
Left chest pocket
Material : Katun
","
          Rp115.000
        ","
            Rp199.000
          ","
            42%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,2", Terjual 298 ,
" 
      Nicole World Tour Navy Tee 
    ",https://www.blibli.com/p/nicole-world-tour-navy-tee/ps--NIT-70073-00002?ds=NIT-70073-00002-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1v7pukrUgf7f8E03E6aY1ybxne/mPGB59y6mVR6+9UtbVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00002,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp188.000
        ","
            Rp375.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"4,8", Terjual 289 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Giordano Men's Printed Tee National Day - Mid Heather Grey [0109121414] 
    ",https://www.blibli.com/p/giordano-men-s-printed-tee-national-day-mid-heather-grey-0109121414/ps--GII-70017-00244?ds=GII-70017-00244-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1iwZADBIngFvZ7C/GCKd+H2g4Zh+bpoj8NtJrGyBtZYzVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00244,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp119.000
        ","
            Rp329.000
          ","
            64%
          ", GIORDANO INDONESIA Official Store , Kota Bekasi & kota lainnya ,"4,9", Terjual 287 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      VM Polos Pendek Kaos Polo Shirt - Hitam 
    ",https://www.blibli.com/p/vm-polos-pendek-kaos-polo-shirt-hitam/ps--VMP-18274-00407?ds=VMP-18274-00407-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1lGFtLxWLg9KVzU3h/Ql0ROaOlcv7KzVfZmXapkW61ZCV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMyabEgXYSw6EIlTizZW56rpf2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00407,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,"
Short sleeves Polo shirt
Didesain simple trendy
Pointed collar
Half plaket berdetail 2 button opening
Material : Lacoste 
","
          Rp54.000
        ","
            Rp129.900
          ","
            58%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,3", Terjual 282 ,
" 
      VM Jumbo Kaos Buntung Pria 
    ",https://www.blibli.com/p/vm-jumbo-kaos-buntung-pria/ps--VMP-18274-01407?ds=VMP-18274-01407-00012&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1t87qudR8owi71d1MTiZhHL/nMQjQp9qCfPF1Mu67/4SV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-01407,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,"



Sleeveless top
Didesain trendy
Round neckline
Nyaman digunakan
Material : Katun



","
          Rp39.000
        ","
            Rp119.000
          ","
            67%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,8", Terjual 276 ,
" 
      Nicole World Tour Black Hoodie 
    ",https://www.blibli.com/p/nicole-world-tour-black-hoodie/ps--NIT-70073-00001?ds=NIT-70073-00001-00002&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1viWyvWGDAkjluL5+vPhSmog8A9XBLJMskE6h0wrzbcKVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJm7Ils7INQkpQ9sN9FxPg6hHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00001,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp238.000
        ","
            Rp475.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"5,0", Terjual 268 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Cottonology Hella Long Kemeja Pria - White 
    ",https://www.blibli.com/p/cottonology-hella-long-kemeja-pria-white/ps--COY-60022-00152?ds=COY-60022-00152-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1t0omaQinh+JoREWcCaO9lvhIB+Jg/pQtnwFTApUK+mpV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMyVjXgy57andpxJvQQSe9vir2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3036853&pid1=COY-60022-00152,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,"• Long sleeves shirt
• Ddidesain casual
• Pointed collar, front button opening, dan detail button of cuffs
• Nyaman digunakan
• Material : Katun","
          Rp99.000
        ","
            Rp335.000
          ","
            70%
          ", COTTONOLOGY Official Store  , Kota Bandung ,"4,5", Terjual 266 ,
" 
      Blythe Ethan Shirt Kemeja Shanghai Kerah Koko Lengan Pendek 
    ",https://www.blibli.com/p/blythe-ethan-shirt-kemeja-shanghai-kerah-koko-lengan-pendek/ps--BLM-60037-01054?ds=BLM-60037-01054-00003&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1pYlw2BFL5X1zimyWO5g3LfhIB+Jg/pQtnwFTApUK+mpV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMydvMZt+8TJeujXuIinhR46j2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3111139&pid1=BLM-60037-01054,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp99.000
        ","
            Rp349.000
          ","
            72%
          ", Blythe Men Official Store , Kota Bekasi & kota lainnya ,"4,8", Terjual 260 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Giordano Men's Regular Polo National Day - Signature White [0101140407] 
    ",https://www.blibli.com/p/giordano-men-s-regular-polo-national-day-signature-white-0101140407/ps--GII-70017-00157?ds=GII-70017-00157-00004&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1kX5aPqq4vZzRip9PzgKdNpnn94KGaiRjmmxg1qjcFPRVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJnuk6dpD5M3X1VmZDWLlP8VHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00157,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,"• - Warna putih 
• - Detail kerah 
• - Unlined 
• - Regular fit 
• - Kancing depan 
• - Material katun kombinasi tidak transparan, ringan dan tidak stretch","
          Rp199.000
        ","
            Rp499.000
          ","
            60%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang & kota lainnya ,"4,9", Terjual 258 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Nicole World Tour Off White Hoodie 
    ",https://www.blibli.com/p/nicole-world-tour-off-white-hoodie/ps--NIT-70073-00004?ds=NIT-70073-00004-00002&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1vsghWb6YzIOhArPbdH2Xs8g8A9XBLJMskE6h0wrzbcKVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJm7Ils7INQkpQ9sN9FxPg6hHWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3499682&pid1=NIT-70073-00004,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp238.000
        ","
            Rp475.000
          ","
            50%
          ", Nicole Tour Merchandise Official Store , Kota Tangerang ,"4,9", Terjual 237 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      VM O Neck Tangan Pendek Putih Kaos Pria                                                                                          
    ",https://www.blibli.com/p/vm-o-neck-tangan-pendek-putih-kaos-pria/ps--VMP-18274-00101?ds=VMP-18274-00101-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1i+saGdS17LwpNmqI4fQdAhrv0fwAFPeIQaF5DEo302yV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70MpLMfP88iQTh28yrud9gP8L8fQNr+iQQraBtd3ylN43svJqIi2XqjxFa1WXD2Hq7krDNQbMrsAMmfYB7gn+SuifzcNXsgpZXqur+lRlJgMyWi3+uwKb57MNk0lW0uh49z2TeETumckatdkLB2bGJ7r&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-00101,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,    Short sleeves T-shirt    Didesain casual    Round neckline    Material : Katun ,"
          Rp40.000
        ","
            Rp129.000
          ","
            69%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat ,"4,1", Terjual 209 ,
" 
      Giordano Men's National Day Tee - Signature Black [0109121408] 
    ",https://www.blibli.com/p/giordano-men-s-national-day-tee-signature-black-0109121408/ps--GII-70017-00235?ds=GII-70017-00235-00002&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1lsT0iYY+KMvomLn/9iniHexrenW3zdGPvwIgW/+QKYDVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00235,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp139.000
        ","
            Rp349.000
          ","
            60%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang ,"4,9", Terjual 208 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Giordano Men's Crew Neck Tee - Melange Indigo Blue [0102025042] 
    ",https://www.blibli.com/p/giordano-men-s-crew-neck-tee-melange-indigo-blue-0102025042/ps--GII-70017-00006?ds=GII-70017-00006-00001&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1l/ISAEKWrIAyvTHIhQNtbig4Zh+bpoj8NtJrGyBtZYzVfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00006,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp119.000
        ","
            Rp259.000
          ","
            54%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang ,"4,9", Terjual 196 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      Giordano Men's Crew Neck Tee - Signature Navy [0102025006] 
    ",https://www.blibli.com/p/giordano-men-s-crew-neck-tee-signature-navy-0102025006/ps--GII-70017-00037?ds=GII-70017-00037-00002&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1r+xgkmRM9DcF5DlMz+p4Fo4ykOIhHvlrnZJSl6L4Bf9Vfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00037,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp149.000
        ","
            Rp259.000
          ","
            42%
          ", GIORDANO INDONESIA Official Store , Kota Jakarta Timur & kota lainnya ,"4,9", Terjual 191 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
" 
      VM Kaos Pendek Polos Pria [Jumbo] 
    ",https://www.blibli.com/p/vm-kaos-pendek-polos-pria-jumbo/ps--VMP-18274-01172?ds=VMP-18274-01172-00004&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1ubf0lKZChrAE4jBghaQnhvqVDJeFx6XmQCKMUgGTwpmV6xq99GcSyZY1Sf3L0gZM81tC/d72O3xovd3W/bG70PfM//eNdJUCw07oJWQqIFs/CwvdFssFoOKOSDSYO3t+ZeU17vCA5Htcepz5rtGXYONp6XO8WKdHoYeMogok9fdK9jh/3ybX9B3ksJFQCWGCCQ0ODsshdvvLcN374agqNArvl0KBXJKdKcWce8lHB5y&cnc=false&pickupPointCode=PP-3113771&pid1=VMP-18274-01172,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png,,,"
Short sleeves T-shirt
Desain casual
Round neckline
Cocok dipakai untuk sehari hari dan juga sebagai kaos dalaman
Material : Cotton
","
          Rp45.000
        ","
            Rp125.000
          ","
            64%
          ", VM-ALSHOP  Official Store , Kota Jakarta Pusat & kota lainnya ,"4,6", Terjual 186 ,
" 
      Giordano Men's Crew Neck Tee - Signature Black [0102025009] 
    ",https://www.blibli.com/p/giordano-men-s-crew-neck-tee-signature-black-0102025009/ps--GII-70017-00281?ds=GII-70017-00281-00002&source=CATEGORY&sid=2b9660647f351829&metaData=Sa0jw+XIAzQDKlCuUgCF1ubf0lKZChrAE4jBghaQnhs4ykOIhHvlrnZJSl6L4Bf9Vfpio0v83fyImViRCUjYcP1ycHsD0Gv3pU06hp78fX5S8zmthDZvuxaMAiMic0Z/VadLzfI1Uug6xRZEdsASicz0Rl8lfc9CnJqjMMx4lFpRiA2nX5MQkJ/wB53voxWGaqh6PGE/3p3TQu9bb/qTJmGhRfDN0NtU0ndt1F0LJt9HWJ2l6vVUDGMPRV5VPpjl&cnc=false&pickupPointCode=PP-3347994&pid1=GII-70017-00281,https://www.static-src.com/frontend/catalog/static/assets/img-placeholder.png, Promo hingga ,4 Feb 2024,,"
          Rp149.000
        ","
            Rp259.000
          ","
            42%
          ", GIORDANO INDONESIA Official Store , Kota Tangerang ,"4,9", Terjual 186 ,https://www.static-src.com/siva/asset/10_2023/fbb_new.png
